City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,9.37,63,82,1.1,RU,1718322203
1,lebu,-37.6167,-73.65,11.52,94,80,4.22,CL,1718322196
2,margaret river,-33.95,115.0667,10.05,89,3,3.69,AU,1718322204
3,palikir - national government center,6.9248,158.1611,27.41,89,100,5.14,FM,1718322301
4,bukama,-9.2,25.85,19.05,51,0,1.12,CD,1718322302
5,port-aux-francais,-49.35,70.2167,3.25,87,98,6.13,TF,1718322192
6,bathsheba,13.2167,-59.5167,28.34,78,20,5.14,BB,1718322302
7,port elizabeth,-33.918,25.5701,13.16,87,0,3.09,ZA,1718322192
8,hermanus,-34.4187,19.2345,13.81,61,8,1.74,ZA,1718322205
9,kasane,-17.8167,25.15,10.58,44,0,1.69,BW,1718322256
10,witu,-2.3889,40.4382,24.93,81,30,6.08,KE,1718322302
11,edinburgh of the seven seas,-37.0676,-12.3116,13.02,75,91,1.61,SH,1718322194
12,prainha,-1.8,-53.48,25.48,82,58,1.18,BR,1718322303
13,sarioglan,39.0769,35.9667,19.69,55,52,0.59,TR,1718322303
14,nemuro,43.3236,145.575,9.18,96,100,5.33,JP,1718322225
15,ushuaia,-54.8,-68.3,-0.19,100,100,6.17,AR,1718321989
16,mount isa,-20.7333,139.5,18.87,42,0,1.54,AU,1718322303
17,waitangi,-43.9535,-176.5597,11.01,84,100,4.47,NZ,1718322196
18,port mathurin,-19.6833,63.4167,23.99,75,98,10.79,MU,1718322193
19,christchurch,-43.5333,172.6333,11.64,89,100,4.12,NZ,1718322202
20,saipan,15.1355,145.701,30.39,79,40,6.17,MP,1718322217
21,ulety,51.3572,112.4849,14.05,78,42,1.67,RU,1718322303
22,zahedan,29.4963,60.8629,26.95,19,0,2.06,IR,1718322303
23,grytviken,-54.2811,-36.5092,0.92,97,100,6.0,GS,1718322194
24,albany,42.6001,-73.9662,28.36,64,42,0.45,US,1718321788
25,isafjordur,66.0755,-23.124,10.52,75,100,1.81,IS,1718322202
26,chonchi,-42.6128,-73.8092,8.95,93,100,1.74,CL,1718322192
27,tazacorte,28.629,-17.9293,19.54,84,75,7.72,ES,1718322304
28,cabo san lucas,22.8909,-109.9124,30.66,69,0,4.63,MX,1718321983
29,north bend,43.4065,-124.2243,20.13,72,75,8.23,US,1718322196
30,kapuskasing,49.4169,-82.4331,17.05,67,75,5.14,CA,1718322209
31,puerto ayora,-0.7393,-90.3518,23.08,86,52,2.24,EC,1718322216
32,ilomantsi,62.6716,30.9328,6.5,87,5,1.79,FI,1718322304
33,blackmans bay,-43.0167,147.3167,7.07,92,100,2.5,AU,1718322193
34,horta,38.5333,-28.6333,21.12,91,80,4.47,PT,1718322304
35,bredasdorp,-34.5322,20.0403,11.51,84,13,1.27,ZA,1718322202
36,basco,20.4487,121.9702,29.54,84,57,7.02,PH,1718322304
37,bardai,11.65,7.2333,27.78,59,61,3.01,NG,1718322304
38,montlucon,46.3333,2.6,13.17,89,100,3.49,FR,1718322304
39,embarcacion,-23.209,-64.096,25.68,72,36,0.93,AR,1718322217
40,thompson,55.7435,-97.8558,16.09,31,40,2.57,CA,1718322110
41,susuman,62.7833,148.1667,12.21,60,100,7.15,RU,1718322305
42,yellowknife,62.456,-114.3525,20.29,62,75,3.09,CA,1718322035
43,sitka,57.0531,-135.33,13.94,62,75,3.09,US,1718322193
44,punta arenas,-53.15,-70.9167,2.06,80,75,13.89,CL,1718321931
45,adamstown,-25.066,-130.1015,20.44,62,13,4.54,PN,1718322193
46,longyearbyen,78.2186,15.6401,2.91,75,20,8.23,SJ,1718322214
47,lompoc,34.6391,-120.4579,26.5,76,100,5.66,US,1718322220
48,papatowai,-46.5619,169.4708,8.74,92,100,2.23,NZ,1718322200
49,nueve de julio,-35.4444,-60.8831,18.31,92,100,3.58,AR,1718322291
50,fortuna,40.5982,-124.1573,16.63,79,75,7.2,US,1718322235
51,iqaluit,63.7506,-68.5145,0.85,93,100,4.12,CA,1718322193
52,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,90,100,6.0,RU,1718322194
53,luderitz,-26.6481,15.1594,17.43,59,1,1.95,NA,1718322247
54,olonkinbyen,70.9221,-8.7187,1.38,88,52,3.5,SJ,1718322196
55,ilulissat,69.2167,-51.1,3.01,81,75,4.12,GL,1718322207
56,lebanon,36.2081,-86.2911,33.03,53,0,2.06,US,1718322186
57,smithers,54.7804,-127.1743,14.18,38,100,0.0,CA,1718322305
58,belyy yar,53.6039,91.3903,15.94,77,0,0.0,RU,1718322232
59,luau,-10.7073,22.2247,12.9,53,17,2.32,AO,1718322305
60,hirara,24.8,125.2833,28.92,94,75,7.2,JP,1718322305
61,ankazoabo,-22.2833,44.5167,17.48,88,27,3.65,MG,1718322305
62,mount pearl,47.5166,-52.7813,13.58,88,0,3.13,CA,1718322222
63,edd,13.9297,41.6925,33.51,41,54,2.59,ER,1718322305
64,ingeniero jacobacci,-41.3427,-69.5448,6.7,76,99,6.24,AR,1718322305
65,altai,46.3722,96.2583,14.43,48,99,1.74,MN,1718322203
66,taungoo,18.9333,96.4333,24.67,96,100,2.26,MM,1718322305
67,conception bay south,47.4999,-52.9981,13.91,89,0,6.42,CA,1718322305
68,kodiak,57.79,-152.4072,11.73,76,100,4.12,US,1718322228
69,safford,32.834,-109.7076,41.51,7,0,14.92,US,1718322306
70,nadi,-17.8,177.4167,29.0,61,20,4.63,FJ,1718322239
71,isla del bosque,22.7333,-105.85,29.17,66,34,4.87,MX,1718322306
72,takab,36.4009,47.1133,15.61,69,66,1.45,IR,1718322306
73,moranbah,-22.0016,148.0466,18.23,30,0,4.38,AU,1718322306
74,hamilton,39.1834,-84.5333,30.97,42,0,5.14,US,1718321905
75,carnarvon,-24.8667,113.6333,21.36,55,100,3.34,AU,1718322214
76,shaowu,27.3409,117.4831,23.93,100,100,0.66,CN,1718322306
77,manaure,11.7751,-72.4445,30.44,57,100,9.42,CO,1718322306
78,guasdualito,7.2424,-70.7324,24.98,94,40,1.03,VE,1718322306
79,invercargill,-46.4,168.35,7.79,98,100,2.24,NZ,1718322196
80,talnakh,69.4865,88.3972,5.67,96,100,2.74,RU,1718322206
81,cockburn town,21.4612,-71.1419,27.91,86,32,7.79,TC,1718322205
82,happy valley-goose bay,53.3168,-60.3315,20.17,64,75,3.6,CA,1718321999
83,kharar,30.7444,76.6478,30.93,15,0,0.7,IN,1718322306
84,hami,42.8,93.45,29.5,18,26,2.2,CN,1718322306
85,kailua-kona,19.6406,-155.9956,27.38,76,75,4.12,US,1718322039
86,kibiti,-7.7218,38.9375,17.23,88,0,0.54,TZ,1718322306
87,simanggang,1.2472,111.4528,23.99,100,97,0.0,MY,1718322306
88,poxoreo,-15.8372,-54.3892,21.78,43,0,2.08,BR,1718322306
89,avarua,-21.2078,-159.775,26.03,73,75,7.2,CK,1718322205
90,puerto natales,-51.7236,-72.4875,1.49,89,93,7.07,CL,1718322200
91,kone,-21.0595,164.8658,24.82,44,64,3.67,NC,1718322240
92,vadakku valliyur,8.3833,77.65,25.24,84,90,2.65,IN,1718322306
93,sao jose da coroa grande,-8.8978,-35.1478,25.61,83,100,6.62,BR,1718322194
94,talavera,15.6167,120.9333,28.16,75,52,0.72,PH,1718322307
95,tangalle,6.024,80.7911,25.93,89,91,4.58,LK,1718322211
96,jahazpur,25.6167,75.2833,31.42,42,11,6.06,IN,1718322307
97,arish,31.1316,33.7984,22.1,83,0,2.06,EG,1718322307
98,wailua homesteads,22.0669,-159.378,30.24,75,20,6.17,US,1718322199
99,nova sintra,14.8667,-24.7167,22.96,83,4,12.29,CV,1718322225
100,castillos,-34.1667,-53.8333,19.79,76,100,4.18,UY,1718322307
101,ambon,-3.6954,128.1814,28.82,95,40,2.06,ID,1718322307
102,vorgashor,67.5833,63.95,7.67,100,100,1.19,RU,1718322217
103,la rioja,42.25,-2.5,10.88,54,100,3.95,ES,1718322307
104,hadibu,12.65,54.0333,28.49,68,69,7.19,YE,1718322205
105,san luis de la loma,17.2706,-100.8939,27.33,84,100,6.4,MX,1718322307
106,college,64.8569,-147.8028,18.03,71,75,4.63,US,1718322201
107,bilibino,68.0546,166.4372,18.18,35,57,1.83,RU,1718322196
108,bhag,29.0415,67.8239,33.91,42,0,3.32,PK,1718322307
109,qamdo,31.1667,97.2333,8.94,61,78,1.01,CN,1718322307
110,uturoa,-16.7333,-151.4333,26.4,81,20,6.28,PF,1718322198
111,tabou,4.423,-7.3528,25.44,84,100,5.18,CI,1718322222
112,jamestown,42.097,-79.2353,26.8,47,0,6.17,US,1718322205
113,mournies,35.4764,24.0092,40.04,61,0,2.57,GR,1718322307
114,kidal,18.4411,1.4078,33.74,24,8,5.44,ML,1718322307
115,west island,-12.1568,96.8225,26.99,89,100,4.12,CC,1718322199
116,new norfolk,-42.7826,147.0587,7.73,69,96,0.8,AU,1718322215
117,ta`u,-14.2336,-169.5144,27.89,82,98,8.16,AS,1718322307
118,vila franca do campo,37.7167,-25.4333,20.23,99,91,2.67,PT,1718322209
119,queenstown,-31.8976,26.8753,9.46,51,0,2.66,ZA,1718321955
120,aykhal,66.0,111.5,9.0,83,99,7.07,RU,1718322196
121,mount gambier,-37.8333,140.7667,8.36,71,100,3.12,AU,1718322239
